Issue ID,Parent ID,Issue Type,Summary,Description,Priority,Story Points,Original Estimate (h),Sprint,Epic,Labels
SS-1,,Task,"Initialiser repos, CI et workers","FastAPI, React/Vite, Redis, workers d'analyse Docker éphémères.

Spécifications techniques :
Monorepo `apps/api` (FastAPI 3.12), `apps/web` (React 18 + Vite), `workers/scanner` (ARQ + Redis). CI : lint, tests, build d'images. Image scanner séparée contenant les outils d'analyse.

Critères d'acceptation :
- CI verte
- un worker exécute une tâche isolée",Highest,5,11,S1,Socle technique,devops
SS-1.1,SS-1,Sub-task,Structure monorepo + lint,Rôle : DevOps,Highest,,3,S1,Socle technique,devops
SS-1.2,SS-1,Sub-task,Workers ARQ + Redis,Rôle : DevOps,Highest,,4,S1,Socle technique,devops
SS-1.3,SS-1,Sub-task,CI + build des images,Rôle : DevOps,Highest,,4,S1,Socle technique,devops
SS-2,,Story,Comptes et organisations,"En tant que CTO, je crée une organisation et invite mon équipe.

Spécifications techniques :
`organizations`, `memberships` (role: owner|admin|member), `invitations` (token, expiry). Toutes les requêtes filtrées par `org_id` via dépendance FastAPI `current_org()`. Tests d'isolation cross-tenant.

Critères d'acceptation :
- Rôles admin/membre
- invitations e-mail
- isolation multi-tenant testée",Highest,5,18,S1,Authentification,backend
SS-2.1,SS-2,Sub-task,Modèles + endpoints organisations et invitations,Rôle : Backend,Highest,,6,S1,Authentification,be
SS-2.2,SS-2,Sub-task,Middleware d'isolation multi-tenant,Rôle : Backend,Highest,,4,S1,Authentification,be
SS-2.3,SS-2,Sub-task,"Écrans organisation, membres, invitations",Rôle : Frontend web,Highest,,5,S1,Authentification,fe
SS-2.4,SS-2,Sub-task,Tests d'isolation,Rôle : QA,Highest,,3,S1,Authentification,qa
SS-3,,Story,Upload d'archive ZIP et collage de code,"En tant que développeur, j'importe mon code par ZIP ou collage.

Spécifications techniques :
`POST /projects/{id}/uploads` (ZIP ≤ 100 Mo, protection zip-slip et zip-bomb) ou `POST /snippets`. Détection langages par extensions + fichiers manifestes. Stockage temporaire chiffré, suppression après scan.

Critères d'acceptation :
- Limite de taille
- détection des langages
- archive supprimée après analyse",High,3,11,S1,Import,"backend,web"
SS-3.1,SS-3,Sub-task,"Upload sécurisé (zip-slip, taille, ratio)",Rôle : Backend,High,,5,S1,Import,be
SS-3.2,SS-3,Sub-task,Détection des langages,Rôle : Backend,High,,2,S1,Import,be
SS-3.3,SS-3,Sub-task,Écran d'import (drag & drop + éditeur),Rôle : Frontend web,High,,4,S1,Import,fe
SS-4,,Task,Sandbox d'analyse éphémère,"Chaque analyse tourne dans un conteneur isolé, sans réseau sortant, détruit ensuite.

Spécifications techniques :
Conteneur par scan : utilisateur non-root, FS en lecture seule sauf `/work`, `--network none`, limites CPU/RAM/temps, destruction en fin de job. Aucune exécution du code analysé.

Critères d'acceptation :
- Aucun accès réseau
- suppression vérifiée
- test d'isolation",Highest,8,15,S1,Sécurité plateforme,"sécurité,devops"
SS-4.1,SS-4,Sub-task,Profil de conteneur durci,Rôle : DevOps,Highest,,6,S1,Sécurité plateforme,devops
SS-4.2,SS-4,Sub-task,Orchestration job → conteneur → résultats,Rôle : Backend,Highest,,6,S1,Sécurité plateforme,be
SS-4.3,SS-4,Sub-task,Tests d'isolation réseau et FS,Rôle : QA,Highest,,3,S1,Sécurité plateforme,qa
SS-5,,Story,Intégrer le moteur de règles statiques,"Exécuter un moteur SAST open source sur Python, JS/TS, PHP, Java.

Spécifications techniques :
Adaptateur autour d'un moteur SAST open source (sortie SARIF) + jeux de règles par langage + règles maison. Normalisation vers `findings` : rule_id, cwe, owasp, file, start_line, end_line, snippet_hash, raw_severity.

Critères d'acceptation :
- Findings normalisés (fichier, lignes, règle, CWE)",Highest,8,18,S2,Analyse,analyse
SS-5.1,SS-5,Sub-task,Adaptateur moteur + parsing SARIF,Rôle : Backend,Highest,,6,S2,Analyse,be
SS-5.2,SS-5,Sub-task,Normalisation des findings,Rôle : Backend,Highest,,4,S2,Analyse,be
SS-5.3,SS-5,Sub-task,Premières règles maison,Rôle : Backend,Highest,,4,S2,Analyse,be
SS-5.4,SS-5,Sub-task,Tests par langage,Rôle : QA,Highest,,4,S2,Analyse,qa
SS-6,,Story,Détection de secrets,"Détecter clés d'API, mots de passe et jetons commités.

Spécifications techniques :
Détection par motifs + entropie. Stockage : type, fichier, ligne, empreinte SHA-256 tronquée ; **jamais la valeur**. Affichage masqué (`sk_****`).

Critères d'acceptation :
- Valeurs jamais stockées en clair
- affichage masqué
- emplacement précis",Highest,5,9,S2,Analyse,"analyse,sécurité"
SS-6.1,SS-6,Sub-task,Intégration d'un détecteur de secrets open source,Rôle : Backend,Highest,,4,S2,Analyse,be
SS-6.2,SS-6,Sub-task,Masquage et stockage par empreinte,Rôle : Backend,Highest,,3,S2,Analyse,be
SS-6.3,SS-6,Sub-task,Tests : aucune valeur en base ni en logs,Rôle : QA,Highest,,2,S2,Analyse,qa
SS-7,,Story,Analyse des dépendances (SCA),"Identifier les bibliothèques avec CVE connues.

Spécifications techniques :
Parsing requirements.txt / pyproject, package.json + lockfile, composer.json/lock, pom.xml. Croisement avec une base publique d'advisories (API open source). Sortie : package, version, advisory, fixed_version.

Critères d'acceptation :
- Lecture des manifests (requirements, package.json, composer, pom)
- version corrigée indiquée",High,5,12,S2,Analyse,analyse
SS-7.1,SS-7,Sub-task,Parsers de manifests,Rôle : Backend,High,,5,S2,Analyse,be
SS-7.2,SS-7,Sub-task,Client base d'advisories + cache,Rôle : Backend,High,,4,S2,Analyse,be
SS-7.3,SS-7,Sub-task,Affichage des dépendances vulnérables,Rôle : Frontend web,High,,3,S2,Analyse,fe
SS-8,,Task,Jeu de référence de vulnérabilités,"Constituer un benchmark à partir d'applications volontairement vulnérables open source.

Spécifications techniques :
Corpus d'applications volontairement vulnérables open source + annotations de vérité terrain (fichier, ligne, CWE). Script `benchmark.py` calculant rappel, précision, faux positifs, exécuté en CI nocturne.

Critères d'acceptation :
- Rappel et faux positifs calculés automatiquement en CI",High,5,14,S2,Analyse,qa
SS-8.1,SS-8,Sub-task,Sélection du corpus + annotations,Rôle : QA,High,,8,S2,Analyse,qa
SS-8.2,SS-8,Sub-task,Script de benchmark + rapport,Rôle : QA,High,,4,S2,Analyse,qa
SS-8.3,SS-8,Sub-task,Job CI nocturne,Rôle : DevOps,High,,2,S2,Analyse,devops
SS-9,,Story,Validation contextuelle des alertes,"L'IA analyse l'extrait et son contexte pour confirmer ou écarter l'alerte.

Spécifications techniques :
Pour chaque finding : extraction du contexte (fonction englobante + imports + appels, ≤ 150 lignes). Prompt Claude → JSON {verdict: true_positive|false_positive|uncertain, confidence, reason}. Findings `false_positive` à haute confiance masqués par défaut.

Critères d'acceptation :
- Sortie JSON structurée
- faux positifs < 15 % sur le benchmark",Highest,8,18,S3,IA,ia
